device_id,store_name,wifi_mac_id,lan_mac_id,PO,org_id,store_id,engagement_type,date_dispatched,date_installed,date_callback,hardware_extension,device_name,device_type_id,device_type_desc,processor,lens,with_rf_switch,case_size,case_color,is_active
202481587053923,"Acropolis, Kolkata",b8:27:eb:44:b0:36,,,150789,200099846,Rollout,25/04/2018,25/04/2018,,NA,188_1stfloor_1,,VM,Rasberry Pi,V2,No,,White,1
202481590027812,"Acropolis, Kolkata",b8:27:eb:6a:13:71,,,150789,200099846,Rollout,25/04/2018,25/04/2018,,NA,188_1stfloor_2,,VM,Rasberry Pi,V2,No,,White,1
202481595276069,"Acropolis, Kolkata",b8:27:eb:da:0e:70,,,150789,200099846,Rollout,25/04/2018,25/04/2018,,NA,188_2ndfloor_1,,VM,Rasberry Pi,V2,No,,White,1
202481595456700,"Acropolis, Kolkata",b8:27:eb:c7:49:e9,,,150789,200099846,Rollout,27/04/2018,27/04/2018,,NA,188_2ndfloor_2,,VM,Rasberry Pi,V2,No,,White,1
202481598141026,"Acropolis, Kolkata",b8:27:eb:ee:47:37,,,150789,200099846,Rollout,25/04/2018,25/04/2018,,NA,188_groundfloor_1,,VM,Rasberry Pi,V2,No,,White,1
202481594842978,"Acropolis, Kolkata",b8:27:eb:dd:ea:37,,,150789,200099846,Rollout,25/04/2018,25/04/2018,,NA,188_groundfloor_2,,VM,Rasberry Pi,V2,No,,White,1
202481593178961,RCITY Ghatkopar,b8:27:eb:3a:0e:04,,,150789,200089340,Rollout,06/08/2018,06/08/2018,,NA,162_2ndfloor_Homeshop_1,,VM,Rasberry Pi,V2,No,,White,1
202481594598003,RCITY Ghatkopar,b8:27:eb:d0:57:26,,,150789,200089340,Rollout,06/08/2018,06/08/2018,,NA,162_2ndfloor_Homeshop_BackEntry_1,,VM,Rasberry Pi,V2,No,,White,1
202481592996635,South City Kolkatta,b8:27:eb:39:c6:4e,,,150789,200089343,Rollout,26/04/2018,26/04/2018,,17 Cm Horizontal,128_1stfloor_1,,VM,Rasberry Pi,V2,No,,White,1
202481593889227,South City Kolkatta,b8:27:eb:2f:64:9e,,,150789,200089343,Rollout,26/04/2018,26/04/2018,,17 Cm Horizontal,128_1stfloor_3,,VM,Rasberry Pi,V2,No,,White,1
202481601641158,South City Kolkatta,b8:27:eb:a5:2f:93,,,150789,200089343,Rollout,16/05/2018,16/05/2018,,17 Cm Horizontal,128_1stfloor_4,,VM,Rasberry Pi,V2,No,,White,1
202481598890645,South City Kolkatta,b8:27:eb:93:d7:c0,,,150789,200089343,Rollout,26/04/2018,26/04/2018,,17 Cm Horizontal,128_1stfloor_6,,VM,Rasberry Pi,V2,No,,White,1
202481595210770,South City Kolkatta,b8:27:eb:db:09:47,,,150789,200089343,Rollout,28/04/2018,28/04/2018,13/08/2018,17 Cm Horizontal,128_1stfloor_5,,VM,Rasberry Pi,V2,No,,White,0
