device_id,store_name,wifi_mac_id,lan_mac_id,PO,org_id,store_id,engagement_type,date_dispatched,date_installed,date_callback,hardware_extension,device_name,device_type_id,device_type_desc,processor,lens,with_rf_switch,case_size,case_color,is_active
202481598057812,CFS_Banjara Hills,,,,1543,12844342,,,2018-07-14,,N/A,CFS_Main_Entrance_1,,VM,Rasberry Pi,V2,No,,White,1
202481598194976,CFS_Banjara Hills,,,,1543,12844342,,,2018-07-14,,N/A,CFS_Main_Entrance_2,,VM,Rasberry Pi,V2,No,,White,1
202481587567440,MM BLR MANTRI MALL,,,,810,12794260,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481588600943,MM BLR JAYANAGAR 4th BLOCK,,,,810,12793398,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481594279708,MM BLR INDIRA NAGAR,,,,810,12793381,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481598436420,MM BLR JP NAGAR NEW,,,,810,12822639,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481598439094,MM BLR KORAMANGALA,,,,810,12841532,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481602220998,MM BLR HSR LAYOUT,,,,810,12794262,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481587739840,MM BLR SAHAKAR NAGAR,,,,810,12793393,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481600373811,MM MANGALORE CITY CENTER MALL,,,,810,12793396,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481594775492,MM-BLR-BROOKEFIELD,,,,810,12793443,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481593985766,MM BLR HBR LYT KAMANAHALLI,,,,810,12793401,,,2007-03-17,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481589295404,Tom Tailor NewDelhi,,,,1575,12842363,,,2017-07-10,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481598361449,Tom Tailor Pune,,,,1575,12841735,,,2018-08-16,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481599477833,Tom Tailor Kolkata,,,,1575,12842367,,2018-08-08,2018-09-04,,N/A,IRIkol_Main_Entrance_1,,VM,Rasberry Pi,V2,No,,White,1
202481598437703,Kalki Fashions Santacruz,,,,1100,12817067,,,2018-05-09,,N/A,,,VM,Rasberry Pi,V2,No,,White,0
202481592265393,Mini Klub Amristar,,,,1642,12845851,,2018-10-03,2018-10-10,,N/A,MKamristar_Main_Entrance_1,,VM,Rasberry Pi,V2,No,,White,1
202481601645487,PC Jewelers Faridiabad,,,,1543,12840711,,,,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481594322437,Amritsar,,,,725,12788076,,,2018-07-17,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481599553492,Jayanagar,,,,725,12836304,,,2018-07-24,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481597671612,Orion Mall,,,,725,12788059,,,2018-07-13,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481601395713,100 FT Road,,,,725,12828855,,,2018-06-15,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481591164356,PMC Chennai,,,,725,12826803,,,2018-06-15,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481588257952,Chandigarh,,,,725,12788075,,,2018-07-23,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481595676897,Adyar,,,,725,12836549,,,2018-07-19,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481592170744,Chennai,,,,725,12788056,,,2018-06-18,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481594708945,Elante Mall,,,,725,12814998,,,2018-07-19,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481589264989,DLF Emporio,,,,725,12826439,,,2018-06-13,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481597887957,DLF Emporio,,,,725,12826439,,,2018-06-13,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481588298670,Ambience,,,,725,12788071,,,2018-06-19,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
202481596602204,Hyderabad,,,,725,12788060,,,2018-06-14,,N/A,,,VM,Rasberry Pi,V2,No,,White,1
