device_id,store_name,wifi_mac_id,lan_mac_id,PO,org_id,store_id,engagement_type,date_dispatched,date_installed,date_callback,hardware_extension,device_name,device_type_id,device_type_desc,processor,lens,with_rf_switch,case_size,case_color,is_active
201807070101,IndiraNagarStore1,46:83:39:89:0f:d0,00:16:3E:76:D6:7F,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_1,V2,VM,Rasberry Pi,V2,No,,White,1
201807070102,IndiraNagarStore1,00:1C:14:F8:02:48,00:16:3E:37:60:6A,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_2,V2,VM,Rasberry Pi,V2,No,,White,1
201807070103,IndiraNagarStore1,00:0C:29:89:AF:DD,00:16:3E:AD:53:98,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_3,V2,VM,Rasberry Pi,V2,No,,White,1
201807070104,IndiraNagarStore1,00:1C:14:6D:0C:DD,00:16:3E:99:AB:AB,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_4,V2,VM,Rasberry Pi,V2,No,,White,1
201807070105,IndiraNagarStore1,00:05:69:2A:68:67,00:16:3E:3C:45:B5,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_5,V2,VM,Rasberry Pi,V2,No,,White,1
201807070106,IndiraNagarStore1,00:1C:14:4A:D9:4F,00:16:3E:F0:97:DC,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_6,V2,VM,Rasberry Pi,V2,No,,White,1
201807070107,IndiraNagarStore1,00:16:3E:41:79:85,00:0C:29:F3:D8:71,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_7,V2,VM,Rasberry Pi,V2,No,,White,1
201807070108,IndiraNagarStore1,00:16:3E:11:52:D6,00:05:69:71:AB:79,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_8,V2,VM,Rasberry Pi,V2,No,,White,1
201807070109,IndiraNagarStore1,00:16:3E:B3:4A:01,00:50:56:DC:B7:47,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_9,V2,VM,Rasberry Pi,V2,No,,White,1
2018070701010,IndiraNagarStore1,00:16:3E:73:C1:6E,00:0C:29:E0:BF:CE,,781,50013129,Nightly Testing,20/06/2018,24/06/2018,,NA,device_10,V2,VM,Rasberry Pi,V2,No,,White,1
201807070201,HSRStore1,00:16:3E:1E:DB:F9,00:1C:14:01:BE:39,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070202,HSRStore1,00:16:3E:96:90:C3,00:50:56:40:37:99,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070203,HSRStore1,00:16:3E:61:04:C5,00:0C:29:D4:37:65,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070204,HSRStore1,00:16:3E:7F:65:CE,00:1C:14:6D:E2:A3,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070205,HSRStore1,00:16:3E:3F:6F:FF,00:0C:29:E8:F2:5A,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070206,HSRStore1,00:16:3E:7C:59:62,00:0C:29:2D:E6:A0,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070207,HSRStore1,00:05:69:9D:4E:14,00:16:3E:D5:99:E4,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
201807070208,HSRStore1,00:50:56:3E:91:85,00:16:3E:C6:DE:CA,,781,50013130,Nightly Testing,20/06/2018,24/06/2018,,NA,,V2,VM,Rasberry Pi,V2,No,,White,1
